Time,Input1,output1,Input2,output2,Input3,output3,Input4,output4,,
0,3.318306786,0,-0.204688948,0,0,0,0,0,,1-2 multifreq
0.1,2.054270021,0.013984693,-0.488550672,-0.001451147,3.916634548,0.006364599,1.78241472,0.002896449,,3-4 single
0.2,0.391998697,0.04529092,-0.794880163,-0.007453846,4.869238154,0.044797494,1.616992808,0.019413597,,
0.3,-0.641577947,0.077804506,-0.931650952,-0.020121718,2.136899401,0.119532826,-0.315491388,0.046664433,,
0.4,-0.665732727,0.101942278,-0.83308354,-0.039879158,-2.212602216,0.203493408,-1.903204148,0.068285631,,
0.5,0.00507606,0.117611302,-0.602082249,-0.065075733,-4.887650588,0.258867369,-1.411080651,0.072357659,,
0.6,0.787904978,0.13095432,-0.415429342,-0.093034207,-3.863822438,0.265835558,0.623082727,0.064482099,,
0.7,1.294466852,0.148887269,-0.384684916,-0.121636149,0.084069502,0.237707623,1.976336468,0.061722107,,
0.8,1.470509934,0.17550911,-0.489879864,-0.150236234,3.968339319,0.211004865,1.169834386,0.074027049,,
0.9,1.413922931,0.211546854,-0.629116765,-0.179407213,4.849449054,0.217996979,-0.915071788,0.093438999,,
1,1.157218047,0.255258055,-0.724754605,-0.210019002,2.060592426,0.262467042,-1.999980413,0.102874164,,
1.1,0.659818479,0.302974223,-0.784089368,-0.242560053,-2.287679469,0.317047297,-0.899294929,0.094882536,,
1.2,-0.02240699,0.349201988,-0.862029967,-0.277188524,-4.90468115,0.344135636,1.184147029,0.079882832,,
1.3,-0.634004872,0.387559542,-0.967569188,-0.314133614,-3.80991792,0.324562945,1.973543929,0.074872465,,
1.4,-0.856278297,0.413136911,-1.010017427,-0.353681803,0.168115236,0.272312987,0.606236713,0.084950005,,
1.5,-0.585221066,0.424994345,-0.846482993,-0.395375798,4.018922133,0.224153031,-1.423570685,0.097840144,,
1.6,-0.069310918,0.426537299,-0.398595647,-0.436916131,4.828288883,0.212020881,-1.897688996,0.097404679,,
1.7,0.268695305,0.422970499,0.26322872,-0.473755821,1.983702866,0.239062681,-0.297998052,0.081373039,,
1.8,0.195450825,0.417634711,0.950775085,-0.49998799,-2.362109932,0.277454722,1.627347475,0.063915871,,
1.9,-0.120415138,0.410293745,1.490206314,-0.510115544,-4.920325025,0.28965586,1.774315057,0.060248173,,
2,-0.269846548,0.398851169,1.847283147,-0.500513917,-3.754936234,0.257005895,-0.017702619,0.070088192,,
2.1,-0.014295456,0.382785409,2.130868393,-0.469590398,0.252113439,0.19402621,-1.790374736,0.078046449,,
2.2,0.436207725,0.364809969,2.456157736,-0.416792776,4.068368688,0.137599658,-1.606511453,0.070520919,,
2.3,0.567408985,0.348740823,2.77508301,-0.341695348,4.805763623,0.119217152,0.332960007,0.050633161,,
2.4,0.035192264,0.335212338,2.830405812,-0.24450706,1.906252458,0.141293651,1.908570189,0.034884857,,
2.5,-0.950296842,0.319339845,2.309117759,-0.128262781,-2.435872562,0.175477,1.398480063,0.035186427,,
2.6,-1.708880172,0.293196309,1.110547635,-0.001047062,-4.934577791,0.184229218,-0.639879924,0.045897984,,
2.7,-1.620876314,0.251819844,-0.471841647,0.123909665,-3.698892925,0.149347608,-1.978974167,0.050044496,,
2.8,-0.670388726,0.197983178,-1.826247403,0.231562502,0.336040363,0.085841974,-1.155430089,0.037911946,,
2.9,0.478120375,0.141410163,-2.354561382,0.310636361,4.116665004,0.030665158,0.930776953,0.017704416,,
3,0.968156277,0.092443342,-1.860920342,0.358462588,4.781879642,0.014827288,1.99982372,0.006614192,,
3.1,0.416549306,0.054809033,-0.723456548,0.381720253,1.828263101,0.03999525,0.883447613,0.012064717,,
3.2,-0.79537661,0.023078869,0.302159,0.392164763,-2.508946505,0.077289165,-1.198366898,0.023623474,,
3.3,-1.845662705,-0.013247378,0.551455475,0.399579247,-4.947435416,0.08918501,-1.970596768,0.024428893,,
3.4,-2.132648852,-0.062382662,-0.106618641,0.406277484,-3.641803839,0.057949938,-0.589343203,0.009625596,,
3.5,-1.717991094,-0.125409342,-1.160048851,0.406766868,0.419872278,-0.000909083,1.435949186,-0.008308233,,
3.6,-1.198460451,-0.197377816,-1.774141617,0.392942363,4.163797427,-0.050360453,1.892025165,-0.013192453,,
3.7,-1.1493935,-0.272739559,-1.348587314,0.361468844,4.756643694,-0.059860084,0.280481368,-0.002820218,,
3.8,-1.635767162,-0.350131462,0.055296739,0.318354168,1.749756845,-0.028461413,-1.637574644,0.008632884,,
3.9,-2.196927245,-0.43254275,1.712226125,0.277363651,-2.5813111,0.014467001,-1.766076382,0.00609943,,
4,-2.277007894,-0.523150637,2.673731875,0.25291829,-4.958894267,0.031459882,0.03540385,-0.009917264,,
4.1,-1.692703263,-0.620739032,2.371621086,0.251839931,-3.583685116,0.005295579,1.79819448,-0.023898998,,
4.2,-0.734857286,-0.71857984,0.987455533,0.269237494,0.503585485,-0.047987731,1.595904233,-0.022278651,,
4.3,0.138681319,-0.807325906,-0.659048198,0.291272415,4.20975263,-0.091251438,-0.350402539,-0.008276476,,
4.4,0.692985797,-0.879081165,-1.632057863,0.303138477,4.730062913,-0.094385836,-1.913786699,0.001608134,,
4.5,1.024164654,-0.929378002,-1.469287892,0.297243345,1.670755884,-0.057125418,-1.385769908,-0.004385354,,
4.6,1.32769571,-0.956333342,-0.453772854,0.276511066,-2.652945889,-0.009278994,0.656626988,-0.020440338,,
4.7,1.610477849,-0.959015935,0.603044811,0.250955642,-4.968951104,0.011798088,1.981456818,-0.029534025,,
4.8,1.671761266,-0.937349066,0.912431522,0.230048998,-3.524553187,-0.010562424,1.140935267,-0.022054845,,
4.9,1.382258319,-0.89349976,0.2234152,0.216022322,0.587156314,-0.059758228,-0.946409194,-0.006322065,,
5,0.953659717,-0.832435572,-1.032585827,0.20242472,4.254517623,-0.098517645,-1.999510347,0.000490073,,
5.1,0.858907445,-0.75969018,-2.045529504,0.178673754,4.702144815,-0.0971399,-0.867531082,-0.008895466,,
5.2,1.394462466,-0.677460443,-2.159342068,0.137415417,1.591282556,-0.056007247,1.212492879,-0.023921179,,
5.3,2.266834603,-0.582765635,-1.275931795,0.079856448,-2.723830617,-0.005329395,1.967495216,-0.027749556,,
5.4,2.647465887,-0.470717212,0.120373322,0.01578737,-4.977603082,0.017685089,0.572403519,-0.01567613,,
5.5,1.768271559,-0.341699918,1.303259063,-0.041426839,-3.464424771,-0.003044626,-1.448215184,-0.000287115,,
5.6,-0.372349803,-0.20701752,1.758471739,-0.081496796,0.670561138,-0.050333199,-1.8862131,0.002281716,,
5.7,-2.800144512,-0.087360122,1.449933457,-0.101468788,4.298079747,-0.086764109,-0.262942709,-0.010035472,,
5.8,-4.113122629,-0.003264624,0.75160271,-0.105444605,4.672897292,-0.083033642,1.647673514,-0.022989634,,
5.9,-3.437570893,0.036877719,0.136254277,-0.10081362,1.511359328,-0.040154321,1.757699339,-0.021600361,,
6,-1.077742196,0.042954191,-0.137951575,-0.093863557,-2.793945244,0.011287517,-0.053102308,-0.006537819,,
6.1,1.650917331,0.038582987,-0.134600221,-0.087564788,-4.984847757,0.034255668,-1.805873341,0.006599397,,
6.2,3.293349042,0.048409453,-0.103641326,-0.082267503,-3.403316868,0.0132715,-1.585171979,0.004320918,,
6.3,3.184210129,0.085438623,-0.242382273,-0.077950889,0.753776376,-0.033891153,0.367817619,-0.010021735,,
6.4,1.769850023,0.146278474,-0.544316797,-0.07588648,4.340426687,-0.069673699,1.918853269,-0.01990525,,
6.5,0.153899958,0.216326369,-0.833731408,-0.078472909,4.642328614,-0.065170914,1.372951182,-0.01369853,,
6.6,-0.714830932,0.280200984,-0.930614545,-0.087705755,1.431008798,-0.022023747,-0.673322607,0.002620773,,
6.7,-0.586032175,0.330088202,-0.798820013,-0.103711015,-2.863269947,0.028819847,-1.983784228,0.011993528,,
6.8,0.143679249,0.367503656,-0.563089636,-0.124622905,-4.99068308,0.050507006,-1.126351057,0.0049168,,
6.9,0.897639402,0.399328161,-0.398249572,-0.147810469,-3.341246755,0.028165833,0.961967287,-0.010174739,,
7,1.344932056,0.432423378,-0.395167747,-0.171422531,0.836778502,-0.019846659,1.999040317,-0.016129479,,
7.1,1.474845474,0.470565333,-0.513882115,-0.19511273,4.38154647,-0.055843821,0.851546582,-0.005824351,,
7.2,1.385637438,0.514280899,-0.649160098,-0.219615802,4.610447423,-0.051330233,-1.226523864,0.010048974,,
7.3,1.091143082,0.561780788,-0.735904859,-0.245803316,1.350253683,-0.00857211,-1.964239517,0.014667692,,
7.4,0.553491326,0.609375411,-0.794570191,-0.274119828,-2.931785125,0.041118265,-0.555418989,0.003460334,,
7.5,-0.139503755,0.651614005,-0.879050612,-0.304737248,-4.9951074,0.061078678,1.460367718,-0.010896498,,
7.6,-0.705563272,0.682462981,-0.982910831,-0.337939653,-3.27823198,0.037043039,1.880253255,-0.01233145,,
7.7,-0.842710053,0.697830197,-1.000535436,-0.37398302,0.919544047,-0.012060453,0.245383449,0.001059736,,
7.8,-0.504420007,0.697848837,-0.791172707,-0.412186555,4.421427471,-0.048431184,-1.657643293,0.014934207,,
7.9,0.010629168,0.686748205,-0.29807391,-0.449880361,4.577262733,-0.043999757,-1.749184586,0.014378091,,
8,0.2857151,0.669926033,0.382805843,-0.482198523,1.269116814,-0.001666188,0.070796605,0.000205266,,
8.1,0.149209294,0.65040443,1.054936211,-0.503178463,-2.999471408,0.046898907,1.813410717,-0.011929179,,
8.2,-0.168136854,0.627670225,1.561377876,-0.50756199,-4.998119468,0.065226881,1.57431553,-0.008635106,,
8.3,-0.255514542,0.599881458,1.896029485,-0.492094836,-3.214290359,0.039654881,-0.38520388,0.006582049,,
8.4,0.060127086,0.567251127,2.181192074,-0.455445647,1.002049611,-0.010328934,-1.923769503,0.01715459,,
8.5,0.494978038,0.533123983,2.514949702,-0.39711482,4.460058413,-0.046828218,-1.360024889,0.011560383,,
8.6,0.526500403,0.501260379,2.812003378,-0.316677791,4.542783926,-0.042211952,0.689965473,-0.004083065,,
8.7,-0.113535764,0.471580114,2.78993127,-0.214642134,1.187621131,-1.94E-05,1.985956214,-0.012701392,,
8.8,-1.114910617,0.438522956,2.152240402,-0.09475006,-3.066309659,0.047723988,1.111678599,-0.004919676,,
8.9,-1.763267386,0.394335287,0.857348746,0.033979384,-4.999718431,0.064748504,-0.977450012,0.01069503,,
9,-1.510349924,0.335250701,-0.734264876,0.157702596,-3.149439971,0.037993711,-1.998413668,0.016998425,,
9.1,-0.466369221,0.265545694,-1.984980042,0.261598914,1.08427187,-0.012502428,-0.835495366,0.007006677,,
9.2,0.625995168,0.195676112,-2.339806432,0.335603597,4.497428376,-0.048762679,1.240458754,-0.008469026,,
9.3,0.947181112,0.135380447,-1.696706566,0.378720677,4.507020751,-0.043605838,1.960829925,-0.012635177,,
9.4,0.238741293,0.08689388,-0.521076348,0.398917048,1.105789676,-0.001212893,0.538390943,-0.001065497,,
9.5,-1.006010037,0.043537504,0.410307019,0.408140151,-3.13228098,0.046042154,-1.472405837,0.013463651,,
9.6,-1.954790135,-0.005290034,0.497634397,0.415208265,-4.999903837,0.062095843,-1.874146097,0.014937408,,
9.7,-2.100027891,-0.066777083,-0.277597349,0.42099265,-3.083699151,0.034491368,-0.227804964,0.001605212,,
9.8,-1.618571685,-0.14074023,-1.316393791,0.41909444,1.166187575,-0.016190782,1.667483201,-0.012104517,,
9.9,-1.147630049,-0.221692454,-1.783182492,0.401722397,4.533526794,-0.051904786,1.740532789,-0.011350438,,
10,-1.201243209,-0.304561782,-1.168042819,0.366949821,4.469983318,-0.045928661,-0.088485356,0.00290422,,
10.1,-1.741867298,-0.388868742,0.342563036,0.322395364,1.023645583,-0.003084565,-1.820806018,0.014945621,,
10.2,-2.255464786,-0.478012528,1.945780648,0.282542475,-3.197366721,0.043912731,-1.563335739,0.01148228,,
10.3,-2.22237082,-0.574727991,2.716448496,0.261070972,-4.998675635,0.059216187,0.402559962,-0.00382873,,
10.4,-1.544975375,-0.676856419,2.198125773,0.262955768,-3.017086485,0.03097566,1.928535014,-0.014377693,,
10.5,-0.57129995,-0.776985151,0.701399533,0.28143043,1.247773567,-0.019692019,1.346992042,-0.008752747,,
10.6,0.25515327,-0.865791952,-0.89090578,0.301866145,4.568343459,-0.054683016,-0.706554282,0.006789638,,
10.7,0.758321645,-0.935949042,-1.685783507,0.310185566,4.431682099,-0.047741736,-1.987972606,0.01516222,,
10.8,1.07354801,-0.983581814,-1.340171606,0.300525222,0.941212079,-0.004330053,-1.096919045,0.007120309,,
10.9,1.380534729,-1.007117072,-0.253843653,0.27741497,-3.261548478,0.042506822,0.992856157,-0.008635281,,
